,fullName,name,parkCode,designation,states,url,lat,long
133,Rio Grande Wild & Scenic River,Rio Grande,rigr,Wild & Scenic River,TX,https://www.nps.gov/rigr/index.htm,,0
134,Rocky Mountain National Park,Rocky Mountain,romo,National Park,CO,https://www.nps.gov/romo/index.htm,40.3428,-105.6836
135,Saint Croix National Scenic Riverway,Saint Croix,sacn,National Scenic Riverway,"WI,MN",https://www.nps.gov/sacn/index.htm,45.4162,-92.6468
136,Saguaro National Park,Saguaro,sagu,National Park,AZ,https://www.nps.gov/sagu/index.htm,32.2967,-111.1666
137,Santa Monica Mountains National Recreation Area,Santa Monica Mountains,samo,National Recreation Area,CA,https://www.nps.gov/samo/index.htm,34.1029,-118.7074
138,Salinas Pueblo Missions National Monument,Salinas Pueblo Missions,sapu,National Monument,NM,https://www.nps.gov/sapu/index.htm,34.2596,-106.0933
139,Sequoia & Kings Canyon National Parks,Sequoia & Kings Canyon,seki,National Parks,CA,https://www.nps.gov/seki/index.htm,36.5647,-118.7727
140,Shenandoah National Park,Shenandoah,shen,National Park,VA,https://www.nps.gov/shen/index.htm,38.2928,-78.6796
141,Sleeping Bear Dunes National Lakeshore,Sleeping Bear Dunes,slbe,National Lakeshore,MI,https://www.nps.gov/slbe/index.htm,44.8734,-86.0467
142,South Carolina National Heritage Corridor,South Carolina,soca,National Heritage Corridor,SC,https://www.nps.gov/soca/index.htm,33.836082,-81.163727
143,Star-Spangled Banner National Historic Trail,Star-Spangled Banner,stsp,National Historic Trail,"MD,VA,DC",https://www.nps.gov/stsp/index.htm,39.2653,-76.5796
144,Theodore Roosevelt National Park,Theodore Roosevelt,thro,National Park,ND,https://www.nps.gov/thro/index.htm,46.979,-103.5387
145,Virgin Islands National Park,Virgin Islands,viis,National Park,VI,https://www.nps.gov/viis/index.htm,18.3424,-64.7486
146,Voyageurs National Park,Voyageurs,voya,National Park,MN,https://www.nps.gov/voya/index.htm,48.4841,-92.8271
147,Whiskeytown National Recreation Area,Whiskeytown,whis,National Recreation Area,CA,https://www.nps.gov/whis/index.htm,40.6106,-122.528
148,White Sands National Park,White Sands,whsa,National Park,NM,https://www.nps.gov/whsa/index.htm,32.7872,-106.3257
149,Wind Cave National Park,Wind Cave,wica,National Park,SD,https://www.nps.gov/wica/index.htm,43.6046,-103.4213
150,Wrangell - St Elias National Park & Preserve,Wrangell - St Elias,wrst,National Park & Preserve,AK,https://www.nps.gov/wrst/index.htm,61.7104,-142.9857
151,Yellowstone National Park,Yellowstone,yell,National Park,"ID,MT,WY",https://www.nps.gov/yell/index.htm,44.428,-110.5885
152,Yosemite National Park,Yosemite,yose,National Park,CA,https://www.nps.gov/yose/index.htm,37.8651,-119.5383
153,Yukon - Charley Rivers National Preserve,Yukon - Charley Rivers,yuch,National Preserve,AK,https://www.nps.gov/yuch/index.htm,65,-143.5022
154,Zion National Park,Zion,zion,National Park,UT,https://www.nps.gov/zion/index.htm,37.2982,-113.0263
